theta0,theta1,is_valid
-35,-35,False
-35,-33,False
-35,-31,False
-35,-29,False
-35,-27,False
-35,-25,False
-35,-23,False
-35,-21,False
-35,-19,False
-35,-17,False
-35,-15,False
-35,-13,False
-35,-11,False
-35,-9,False
-35,-7,False
-35,-5,False
-35,-3,False
-35,-1,False
-35,1,False
-35,3,False
-35,5,False
-35,7,False
-35,9,False
-35,11,False
-35,13,False
-35,15,False
-35,17,False
-35,19,False
-35,21,False
-35,23,False
-35,25,False
-35,27,False
-35,29,False
-35,31,False
-35,33,False
-35,35,False
-33,-35,False
-33,-33,False
-33,-31,False
-33,-29,False
-33,-27,False
-33,-25,False
-33,-23,False
-33,-21,False
-33,-19,False
-33,-17,False
-33,-15,False
-33,-13,False
-33,-11,False
-33,-9,False
-33,-7,False
-33,-5,False
-33,-3,False
-33,-1,False
-33,1,False
-33,3,False
-33,5,False
-33,7,False
-33,9,False
-33,11,False
-33,13,False
-33,15,False
-33,17,False
-33,19,False
-33,21,False
-33,23,False
-33,25,False
-33,27,False
-33,29,False
-33,31,False
-33,33,False
-33,35,False
-31,-35,False
-31,-33,False
-31,-31,False
-31,-29,False
-31,-27,False
-31,-25,False
-31,-23,False
-31,-21,False
-31,-19,False
-31,-17,False
-31,-15,False
-31,-13,False
-31,-11,False
-31,-9,False
-31,-7,False
-31,-5,False
-31,-3,False
-31,-1,False
-31,1,False
-31,3,False
-31,5,False
-31,7,False
-31,9,False
-31,11,False
-31,13,False
-31,15,False
-31,17,False
-31,19,False
-31,21,False
-31,23,False
-31,25,False
-31,27,False
-31,29,False
-31,31,False
-31,33,False
-31,35,False
-29,-35,False
-29,-33,True
-29,-31,True
-29,-29,True
-29,-27,True
-29,-25,True
-29,-23,True
-29,-21,False
-29,-19,False
-29,-17,False
-29,-15,False
-29,-13,False
-29,-11,False
-29,-9,False
-29,-7,False
-29,-5,False
-29,-3,False
-29,-1,False
-29,1,False
-29,3,False
-29,5,False
-29,7,False
-29,9,False
-29,11,False
-29,13,False
-29,15,False
-29,17,False
-29,19,False
-29,21,False
-29,23,False
-29,25,False
-29,27,False
-29,29,False
-29,31,False
-29,33,False
-29,35,False
-27,-35,False
-27,-33,True
-27,-31,True
-27,-29,True
-27,-27,True
-27,-25,True
-27,-23,True
-27,-21,True
-27,-19,True
-27,-17,True
-27,-15,True
-27,-13,True
-27,-11,True
-27,-9,True
-27,-7,False
-27,-5,True
-27,-3,False
-27,-1,False
-27,1,False
-27,3,False
-27,5,False
-27,7,False
-27,9,False
-27,11,False
-27,13,False
-27,15,False
-27,17,False
-27,19,False
-27,21,False
-27,23,False
-27,25,False
-27,27,False
-27,29,False
-27,31,False
-27,33,False
-27,35,False
-25,-35,False
-25,-33,True
-25,-31,True
-25,-29,True
-25,-27,True
-25,-25,True
-25,-23,True
-25,-21,True
-25,-19,True
-25,-17,True
-25,-15,True
-25,-13,True
-25,-11,True
-25,-9,True
-25,-7,True
-25,-5,True
-25,-3,True
-25,-1,True
-25,1,True
-25,3,True
-25,5,True
-25,7,False
-25,9,False
-25,11,False
-25,13,False
-25,15,False
-25,17,False
-25,19,False
-25,21,False
-25,23,False
-25,25,False
-25,27,False
-25,29,False
-25,31,False
-25,33,False
-25,35,False
-23,-35,False
-23,-33,True
-23,-31,True
-23,-29,True
-23,-27,True
-23,-25,True
-23,-23,True
-23,-21,True
-23,-19,True
-23,-17,True
-23,-15,True
-23,-13,True
-23,-11,True
-23,-9,True
-23,-7,True
-23,-5,True
-23,-3,True
-23,-1,True
-23,1,True
-23,3,True
-23,5,True
-23,7,True
-23,9,False
-23,11,False
-23,13,False
-23,15,False
-23,17,False
-23,19,False
-23,21,False
-23,23,False
-23,25,False
-23,27,False
-23,29,False
-23,31,False
-23,33,False
-23,35,False
-21,-35,False
-21,-33,True
-21,-31,True
-21,-29,True
-21,-27,True
-21,-25,True
-21,-23,True
-21,-21,True
-21,-19,True
-21,-17,True
-21,-15,True
-21,-13,True
-21,-11,True
-21,-9,True
-21,-7,True
-21,-5,True
-21,-3,True
-21,-1,True
-21,1,True
-21,3,True
-21,5,True
-21,7,True
-21,9,True
-21,11,False
-21,13,False
-21,15,False
-21,17,False
-21,19,False
-21,21,False
-21,23,False
-21,25,False
-21,27,False
-21,29,False
-21,31,False
-21,33,False
-21,35,False
-19,-35,False
-19,-33,True
-19,-31,True
-19,-29,True
-19,-27,True
-19,-25,True
-19,-23,True
-19,-21,True
-19,-19,True
-19,-17,True
-19,-15,True
-19,-13,True
-19,-11,True
-19,-9,True
-19,-7,True
-19,-5,True
-19,-3,True
-19,-1,True
-19,1,True
-19,3,True
-19,5,True
-19,7,True
-19,9,True
-19,11,False
-19,13,False
-19,15,False
-19,17,False
-19,19,False
-19,21,False
-19,23,False
-19,25,False
-19,27,False
-19,29,False
-19,31,False
-19,33,False
-19,35,False
-17,-35,False
-17,-33,False
-17,-31,True
-17,-29,True
-17,-27,True
-17,-25,True
-17,-23,True
-17,-21,True
-17,-19,True
-17,-17,True
-17,-15,True
-17,-13,True
-17,-11,True
-17,-9,True
-17,-7,True
-17,-5,True
-17,-3,True
-17,-1,True
-17,1,True
-17,3,True
-17,5,True
-17,7,True
-17,9,True
-17,11,True
-17,13,False
-17,15,False
-17,17,False
-17,19,False
-17,21,False
-17,23,False
-17,25,False
-17,27,False
-17,29,False
-17,31,False
-17,33,False
-17,35,False
-15,-35,False
-15,-33,False
-15,-31,True
-15,-29,True
-15,-27,True
-15,-25,True
-15,-23,True
-15,-21,True
-15,-19,True
-15,-17,True
-15,-15,True
-15,-13,True
-15,-11,True
-15,-9,True
-15,-7,True
-15,-5,True
-15,-3,True
-15,-1,True
-15,1,True
-15,3,True
-15,5,True
-15,7,True
-15,9,True
-15,11,True
-15,13,True
-15,15,False
-15,17,False
-15,19,False
-15,21,False
-15,23,False
-15,25,False
-15,27,False
-15,29,False
-15,31,False
-15,33,False
-15,35,False
-13,-35,False
-13,-33,False
-13,-31,False
-13,-29,True
-13,-27,True
-13,-25,True
-13,-23,True
-13,-21,True
-13,-19,True
-13,-17,True
