theta0,theta1,theta2,is_valid
-35,-35,-35,True
-35,-35,-30,True
-35,-35,-25,False
-35,-35,-20,False
-35,-35,-15,False
-35,-35,-10,False
-35,-35,-5,False
-35,-35,0,False
-35,-35,5,False
-35,-35,10,False
-35,-35,15,False
-35,-35,20,False
-35,-35,25,False
-35,-35,30,False
-35,-35,35,False
-35,-30,-35,True
-35,-30,-30,True
-35,-30,-25,False
-35,-30,-20,False
-35,-30,-15,False
-35,-30,-10,False
-35,-30,-5,False
-35,-30,0,False
-35,-30,5,False
-35,-30,10,False
-35,-30,15,False
-35,-30,20,False
-35,-30,25,False
-35,-30,30,False
-35,-30,35,False
-35,-25,-35,False
-35,-25,-30,False
-35,-25,-25,False
-35,-25,-20,False
-35,-25,-15,False
-35,-25,-10,False
-35,-25,-5,False
-35,-25,0,False
-35,-25,5,False
-35,-25,10,False
-35,-25,15,False
-35,-25,20,False
-35,-25,25,False
-35,-25,30,False
-35,-25,35,False
-35,-20,-35,False
-35,-20,-30,False
-35,-20,-25,False
-35,-20,-20,False
-35,-20,-15,False
-35,-20,-10,False
-35,-20,-5,False
-35,-20,0,False
-35,-20,5,False
-35,-20,10,False
-35,-20,15,False
-35,-20,20,False
-35,-20,25,False
-35,-20,30,False
-35,-20,35,False
-35,-15,-35,False
-35,-15,-30,False
-35,-15,-25,False
-35,-15,-20,False
-35,-15,-15,False
-35,-15,-10,False
-35,-15,-5,False
-35,-15,0,False
-35,-15,5,False
-35,-15,10,False
-35,-15,15,False
-35,-15,20,False
-35,-15,25,False
-35,-15,30,False
-35,-15,35,False
-35,-10,-35,False
-35,-10,-30,False
-35,-10,-25,False
-35,-10,-20,False
-35,-10,-15,False
-35,-10,-10,False
-35,-10,-5,False
-35,-10,0,False
-35,-10,5,False
-35,-10,10,False
-35,-10,15,False
-35,-10,20,False
-35,-10,25,False
-35,-10,30,False
-35,-10,35,False
-35,-5,-35,False
-35,-5,-30,False
-35,-5,-25,False
-35,-5,-20,False
-35,-5,-15,False
-35,-5,-10,False
-35,-5,-5,False
-35,-5,0,False
-35,-5,5,False
-35,-5,10,False
-35,-5,15,False
-35,-5,20,False
-35,-5,25,False
-35,-5,30,False
-35,-5,35,False
-35,0,-35,False
-35,0,-30,False
-35,0,-25,False
-35,0,-20,False
-35,0,-15,False
-35,0,-10,False
-35,0,-5,False
-35,0,0,False
-35,0,5,False
-35,0,10,False
-35,0,15,False
-35,0,20,False
-35,0,25,False
-35,0,30,False
-35,0,35,False
-35,5,-35,False
-35,5,-30,False
-35,5,-25,False
-35,5,-20,False
-35,5,-15,False
-35,5,-10,False
-35,5,-5,False
-35,5,0,False
-35,5,5,False
-35,5,10,False
-35,5,15,False
-35,5,20,False
-35,5,25,False
-35,5,30,False
-35,5,35,False
-35,10,-35,False
-35,10,-30,False
-35,10,-25,False
-35,10,-20,False
-35,10,-15,False
-35,10,-10,False
-35,10,-5,False
-35,10,0,False
-35,10,5,False
-35,10,10,False
-35,10,15,False
-35,10,20,False
-35,10,25,False
-35,10,30,False
-35,10,35,False
-35,15,-35,False
-35,15,-30,False
-35,15,-25,False
-35,15,-20,False
-35,15,-15,False
-35,15,-10,False
-35,15,-5,False
-35,15,0,False
-35,15,5,False
-35,15,10,False
-35,15,15,False
-35,15,20,False
-35,15,25,False
-35,15,30,False
-35,15,35,False
-35,20,-35,False
-35,20,-30,False
-35,20,-25,False
-35,20,-20,False
-35,20,-15,False
-35,20,-10,False
-35,20,-5,False
-35,20,0,False
-35,20,5,False
-35,20,10,False
-35,20,15,False
-35,20,20,False
-35,20,25,False
-35,20,30,False
-35,20,35,False
-35,25,-35,False
-35,25,-30,False
-35,25,-25,False
-35,25,-20,False
-35,25,-15,False
-35,25,-10,False
-35,25,-5,False
-35,25,0,False
-35,25,5,False
-35,25,10,False
-35,25,15,False
-35,25,20,False
-35,25,25,False
-35,25,30,False
-35,25,35,False
-35,30,-35,False
-35,30,-30,False
-35,30,-25,False
-35,30,-20,False
-35,30,-15,False
-35,30,-10,False
-35,30,-5,False
-35,30,0,False
-35,30,5,False
-35,30,10,False
-35,30,15,False
-35,30,20,False
-35,30,25,False
-35,30,30,False
-35,30,35,False
-35,35,-35,False
-35,35,-30,False
-35,35,-25,False
-35,35,-20,False
-35,35,-15,False
-35,35,-10,False
-35,35,-5,False
-35,35,0,False
-35,35,5,False
-35,35,10,False
-35,35,15,False
-35,35,20,False
-35,35,25,False
-35,35,30,False
-35,35,35,False
-30,-35,-35,True
-30,-35,-30,True
-30,-35,-25,True
-30,-35,-20,False
-30,-35,-15,False
-30,-35,-10,False
-30,-35,-5,False
-30,-35,0,False
-30,-35,5,False
-30,-35,10,False
-30,-35,15,False
-30,-35,20,False
-30,-35,25,False
-30,-35,30,False
-30,-35,35,False
-30,-30,-35,True
-30,-30,-30,True
-30,-30,-25,True
-30,-30,-20,True
-30,-30,-15,True
-30,-30,-10,True
-30,-30,-5,True
-30,-30,0,True
-30,-30,5,True
-30,-30,10,False
-30,-30,15,False
-30,-30,20,False
-30,-30,25,False
-30,-30,30,False
-30,-30,35,False
-30,-25,-35,False
-30,-25,-30,True
-30,-25,-25,True
-30,-25,-20,True
-30,-25,-15,True
-30,-25,-10,True
-30,-25,-5,True
-30,-25,0,True
-30,-25,5,True
-30,-25,10,True
-30,-25,15,False
-30,-25,20,False
-30,-25,25,False
-30,-25,30,False
-30,-25,35,False
-30,-20,-35,False
-30,-20,-30,True
-30,-20,-25,True
-30,-20,-20,True
-30,-20,-15,True
-30,-20,-10,True
-30,-20,-5,True
-30,-20,0,True
-30,-20,5,True
-30,-20,10,True
-30,-20,15,False
-30,-20,20,False
-30,-20,25,False
-30,-20,30,False
-30,-20,35,False
-30,-15,-35,False
-30,-15,-30,True
-30,-15,-25,True
-30,-15,-20,True
-30,-15,-15,True
-30,-15,-10,True
-30,-15,-5,True
-30,-15,0,True
-30,-15,5,True
-30,-15,10,True
-30,-15,15,True
-30,-15,20,False
-30,-15,25,False
-30,-15,30,False
-30,-15,35,False
-30,-10,-35,False
-30,-10,-30,False
-30,-10,-25,False
-30,-10,-20,False
-30,-10,-15,False
-30,-10,-10,False
-30,-10,-5,False
-30,-10,0,False
-30,-10,5,False
-30,-10,10,True
-30,-10,15,True
-30,-10,20,True
-30,-10,25,False
-30,-10,30,False
-30,-10,35,False
-30,-5,-35,False
-30,-5,-30,False
-30,-5,-25,False
-30,-5,-20,False
-30,-5,-15,False
-30,-5,-10,False
-30,-5,-5,False
-30,-5,0,False
-30,-5,5,False
-30,-5,10,False
-30,-5,15,False
-30,-5,20,False
-30,-5,25,False
-30,-5,30,False
-30,-5,35,False
-30,0,-35,False
-30,0,-30,False
-30,0,-25,False
-30,0,-20,False
-30,0,-15,False
-30,0,-10,False
-30,0,-5,False
-30,0,0,False
-30,0,5,False
-30,0,10,False
-30,0,15,False
-30,0,20,False
-30,0,25,False
-30,0,30,False
-30,0,35,False
-30,5,-35,False
-30,5,-30,False
-30,5,-25,False
-30,5,-20,False
-30,5,-15,False
-30,5,-10,False
-30,5,-5,False
-30,5,0,False
-30,5,5,False
-30,5,10,False
-30,5,15,False
-30,5,20,False
-30,5,25,False
-30,5,30,False
-30,5,35,False
-30,10,-35,False
-30,10,-30,False
-30,10,-25,False
-30,10,-20,False
-30,10,-15,False
-30,10,-10,False
-30,10,-5,False
-30,10,0,False
-30,10,5,False
-30,10,10,False
-30,10,15,False
-30,10,20,False
-30,10,25,False
-30,10,30,False
-30,10,35,False
-30,15,-35,False
-30,15,-30,False
-30,15,-25,False
-30,15,-20,False
-30,15,-15,False
-30,15,-10,False
-30,15,-5,False
-30,15,0,False
-30,15,5,False
-30,15,10,False
-30,15,15,False
-30,15,20,False
-30,15,25,False
-30,15,30,False
-30,15,35,False
-30,20,-35,False
-30,20,-30,False
-30,20,-25,False
-30,20,-20,False
-30,20,-15,False
-30,20,-10,False
-30,20,-5,False
-30,20,0,False
-30,20,5,False
-30,20,10,False
-30,20,15,False
-30,20,20,False
-30,20,25,False
-30,20,30,False
-30,20,35,False
-30,25,-35,False
-30,25,-30,False
-30,25,-25,False
-30,25,-20,False
-30,25,-15,False
-30,25,-10,False
-30,25,-5,False
-30,25,0,False
-30,25,5,False
-30,25,10,False
-30,25,15,False
-30,25,20,False
-30,25,25,False
-30,25,30,False
-30,25,35,False
-30,30,-35,False
-30,30,-30,False
-30,30,-25,False
-30,30,-20,False
-30,30,-15,False
-30,30,-10,False
-30,30,-5,False
-30,30,0,False
-30,30,5,False
-30,30,10,False
-30,30,15,False
-30,30,20,False
-30,30,25,False
-30,30,30,False
-30,30,35,False
-30,35,-35,False
-30,35,-30,False
-30,35,-25,False
-30,35,-20,False
-30,35,-15,False
-30,35,-10,False
-30,35,-5,False
-30,35,0,False
-30,35,5,False
-30,35,10,False
-30,35,15,False
-30,35,20,False
-30,35,25,False
-30,35,30,False
-30,35,35,False
-25,-35,-35,True
-25,-35,-30,True
-25,-35,-25,False
-25,-35,-20,False
-25,-35,-15,False
-25,-35,-10,False
-25,-35,-5,False
-25,-35,0,False
-25,-35,5,False
-25,-35,10,False
-25,-35,15,False
-25,-35,20,False
-25,-35,25,False
-25,-35,30,False
-25,-35,35,False
-25,-30,-35,False
-25,-30,-30,True
-25,-30,-25,True
-25,-30,-20,True
-25,-30,-15,True
-25,-30,-10,True
-25,-30,-5,True
-25,-30,0,True
-25,-30,5,True
-25,-30,10,False
-25,-30,15,False
-25,-30,20,False
-25,-30,25,False
-25,-30,30,False
-25,-30,35,False
-25,-25,-35,False
-25,-25,-30,True
-25,-25,-25,True
-25,-25,-20,True
-25,-25,-15,True
-25,-25,-10,True
-25,-25,-5,True
-25,-25,0,True
-25,-25,5,True
-25,-25,10,True
-25,-25,15,False
-25,-25,20,False
-25,-25,25,False
-25,-25,30,False
-25,-25,35,False
-25,-20,-35,False
-25,-20,-30,True
-25,-20,-25,True
-25,-20,-20,True
-25,-20,-15,True
-25,-20,-10,True
-25,-20,-5,True
-25,-20,0,True
-25,-20,5,True
-25,-20,10,True
-25,-20,15,False
-25,-20,20,False
-25,-20,25,False
-25,-20,30,False
-25,-20,35,False
-25,-15,-35,False
-25,-15,-30,True
-25,-15,-25,True
-25,-15,-20,True
-25,-15,-15,True
-25,-15,-10,True
-25,-15,-5,True
-25,-15,0,True
-25,-15,5,True
-25,-15,10,True
-25,-15,15,True
-25,-15,20,False
-25,-15,25,False
-25,-15,30,False
-25,-15,35,False
-25,-10,-35,False
-25,-10,-30,False
-25,-10,-25,True
-25,-10,-20,True
-25,-10,-15,True
-25,-10,-10,True
-25,-10,-5,True
-25,-10,0,True
-25,-10,5,True
-25,-10,10,True
-25,-10,15,True
-25,-10,20,True
-25,-10,25,False
-25,-10,30,False
-25,-10,35,False
-25,-5,-35,False
-25,-5,-30,False
-25,-5,-25,True
-25,-5,-20,True
-25,-5,-15,True
-25,-5,-10,True
-25,-5,-5,True
-25,-5,0,True
-25,-5,5,True
-25,-5,10,True
-25,-5,15,True
-25,-5,20,True
-25,-5,25,False
-25,-5,30,False
-25,-5,35,False
-25,0,-35,False
-25,0,-30,False
-25,0,-25,False
-25,0,-20,False
-25,0,-15,False
-25,0,-10,False
-25,0,-5,False
-25,0,0,False
-25,0,5,True
-25,0,10,True
-25,0,15,True
-25,0,20,True
-25,0,25,True
-25,0,30,False
-25,0,35,False
-25,5,-35,False
-25,5,-30,False
-25,5,-25,False
-25,5,-20,False
-25,5,-15,False
-25,5,-10,False
-25,5,-5,False
-25,5,0,False
-25,5,5,False
-25,5,10,False
-25,5,15,False
-25,5,20,False
-25,5,25,False
-25,5,30,False
-25,5,35,False
-25,10,-35,False
-25,10,-30,False
